"","x"
"SEL1L3",-1.32888747492425
"LIMCH1",-1.85602795854214
"SHISA3",2.17412679814188
"DANCR",-1.65075305010038
"TMEM165",1.03709659497195
"TECRL",-1.42684620967282
"AFP",-1.68042654128661
"COQ2",1.16905784471257
"PKD2",1.00602397418303
"PPM1K",-1.24323394786826
"PDLIM5",-1.09866308885201
"TSPAN5",2.09733891671292
"MTTP",-1.77551153390516
"NPNT",2.97882628199881
"DKK2",1.18728978210283
"SGMS2",2.07836511416972
"PITX2",1.74077812849808
"CAMK2D",-1.37783975510303
"PRSS12",1.90695142049534
"SEC24D",1.18920159710508
"SYNPO2",1.17054535138313
"MYOZ2",-2.42966978284586
"PCDH10",2.86833065116279
"PABPC4L",1.19615390166972
"MGARP",-1.91455416089365
"CLGN",-1.63179733376823
"HHIP",-2.15234786515084
"LRBA",1.61744682634811
"MAB21L2",1.4274251514382
"SFRP2",1.41325404334042
"FGB",-1.95340063882242
"GUCY1A1",1.80610234999464
"PDGFC",1.41202011454072
"GASK1B",3.25123694104315
"APELA",2.11902169844188
"GALNT7",1.13889675696191
"HAND2",1.0495898427418
"HAND2-AS1",1.17432451756773
"LINC02268",1.03377063099873
"GPM6A",-2.47217617923791
"ACSL1",-1.04191865612527
"SLC25A4",-1.00921777214414
"SORBS2",-1.155813282924
"TPPP",-1.71898886532633
"ZDHHC11B",-2.40361850205887
"IRX4",-1.10641891806407
"BASP1",1.03116307929385
"C1QTNF3",1.47429664878319
"UGT3A1",-2.12479943428118
"EGFLAM",2.61904391153597
"PTGER4",1.73701859705587
"GHR",1.67674449344309
"FGF10",-1.33991071177703
"MRPS30-DT",-2.04576378053216
"ISL1",-1.76271727040295
"PELO",-1.25742483789583
"FST",2.14949466593671
"IL6ST",1.02646601029169
"MAP1B",1.06720250934057
"CRHBP",-2.19684080860653
"CMYA5",-3.21364781512629
"MEF2C",-1.84560410444971
"KCNN2",-1.11395496457144
"MARCHF3",1.78847551335065
"PDLIM4",1.19211162652911
"PITX1",4.36530723369709
"TGFBI",1.44895444370055
"CTB-1I21.1",1.32764854875493
"KLHL3",-1.34737270442567
"EGR1",1.65458970226149
"PROB1",-2.79048548657606
"HBEGF",1.27123174546814
"FGF1",1.77311600499329
"YIPF5",1.03153698111182
"KCTD16",2.24384262333994
"PPP2R2B",1.25794847035949
"AFAP1L1",-2.63784386768911
"ARSI",2.3923515745757
"GPX3",-2.2621865053297
"CCDC69",-1.27419092899208
"SPARC",1.28955406714055
"GRIA1",2.88762127377141
"GALNT10",1.64646374247042
"HAND1",1.68337352701566
"SGCD",1.13327080879346
"CYFIP2",-1.14532563650108
"GABRB2",-1.41107857329769
"SLIT3",1.98355610979519
"SPDL1",1.48908814221025
"KCNIP1",1.56133126763522
"GABRP",2.47347106419733
"NKX2-5",-1.93763632796212
"F12",-2.02318080663641
"PDLIM7",1.31119312616234
"GFPT2",1.12619237422293
"FOXC1",-1.79457244214833
"TUBB2A",1.27798481632902
"TFAP2A",1.19825064723789
"GFOD1",-1.23038105000156
"CD83",1.02164297761371
"RBM24",-2.41609070107592
"LOC124901306",2.08335916856942
"FKBP5",-1.76698027800574
"CDKN1A",-1.15296659399288
"APOBEC2",-1.18900214588936
"SLC22A7",-2.27451119049398
"RUNX2",1.74992738713272
"RCAN2",-1.72166891930914
"C6orf141",1.25433334520763
"GSTA1",-1.14974640205756
"COL21A1",3.04883983251227
"OGFRL1",2.36480775630595
"RIMS1",3.28064318765659
"FILIP1",-1.28824060567058
"TENT5A",1.05874186003448
"PRSS35",2.29036905808741
"TBX18",-1.72264108467091
"SNORD50A",2.64969422899731
"RRAGD",-2.37232650474497
"BVES",-1.93557523645916
"POPDC3",-1.72876414431011
"SOBP",-1.04517959770735
"LAMA4",-2.8098664975424
"NT5DC1",-1.07632002967727
"PLN",-2.23003327243193
"FAM184A",-1.73734142681559
"MAN1A1",2.1739745656896
"TRDN",-1.56383124402191
"TPD52L1",-1.72740084007233
"HEY2",-2.24214898580818
"MOXD1",-1.45234500710105
"TNFAIP3",1.74686313171551
"PLAGL1",1.0740652011236
"PPP1R14C",-2.17830251749664
"CNKSR3",2.14273992721262
"AGPAT4",1.07341321438027
"PDGFA-DT",-1.7531970687366
"CYP2W1",2.80659697892146
"GPER1",1.00750714429492
"THSD7A",-1.95785944989361
"VWDE",-1.46002914436991
"ETV1",-2.33048859809168
"CDCA7L",-1.92094587224044
"NPY",2.06194464077327
"SKAP2",1.50405860751545
"HOTAIRM1",2.85355196209221
"HOXA3",3.92248116195942
"HOXA13",1.05968809403085
"WIPF3",-1.37080749939091
"FKBP14",1.11380347575196
"MTURN",-1.40211985211529
"BMPER",1.04784883955348
"ELMO1",-1.87785920527845
"MYL7",-1.1491247659904
"IGFBP3",1.48354418170262
"TPST1",1.44545672342962
"ELAPOR2",-1.10440494953653
"COL1A2",2.06228375847933
"PON2",1.3592395859252
"TMEM225B",-1.04433668387251
"CNPY4",1.23937918430217
"GPC2",-1.81407075864191
"LRRC17",2.05807707846524
"LRRN3",3.09569095311448
"CAV1",1.93117829781706
"CPED1",1.62460529061936
"STRIP2",-1.78071244327627
"CPA1",1.14301775367807
"MEST",1.27198869458538
"AKR1B10",-3.61591125313914
"DGKI",-1.0069230798464
"MKRN1",-1.08302282362455
"FAM131B",-1.25726594021099
"ABCB8",1.02845623805701
"ZNF596",-2.28652845698569
"PRAG1",1.70627337053656
"GATA4",-1.09352836452057
"ZDHHC2",-1.05785116754418
"LZTS1",1.79149131926369
"BMP1",1.11778645958654
"NKX2-6",-2.6971122937244
"LOC101929258",-2.86798028536854
"STC1",-2.39261778872739
"PTK2B",1.60752067273384
"CLU",1.62331254175936
"SCARA3",1.84806388341422
"KIF13B",-1.39024576575094
"DUSP4",-1.20839985370967
"SNORD13",2.08224760079342
"DUSP26",-1.3638141893244
"LINC01605",1.66065164786589
"ADRB3",1.42269976604729
"ADAM3A",4.61326357420373
"PLAT",2.56556823264489
"PENK",3.82896559301199
"NKAIN3",2.5028211943877
"TRIM55",-2.08122113608509
"JPH1",1.12916519949694
"ZFHX4-AS1",1.1098316401621
"ZFHX4",1.64423352588699
"STMN2",4.03505105488603
"MMP16",2.25988419418689
"RIMS2",2.91932441892636
"ABRA",-2.02170370403768
"ANGPT1",1.91633959558752
"RSPO2",3.56866521894717
"ATAD2",-1.15996998608381
"FBXO32",-1.36470206569171
"MTSS1",-1.67316882641912
"CCN4",1.76703359694171
"ERMP1",-1.06501193409285
"TYRP1",1.80164146401276
"LURAP1L",1.51680578648507
"MLLT3",-1.24925004290798
"CDKN2B",1.99880871599288
"TEK",2.48883057820075
"AQP3",1.19401970759861
"ENHO",-1.39264114787877
"ANKRD18A",-1.68341807804051
"ENTREP1",-3.09542439310256
"ALDH1A1",-2.03132108168167
"PCSK5",1.51916812584202
