"","x"
"CT75",2.3610964739375
"SGPP2",3.36852628257905
"KCNE4",-3.58514766990844
"HJURP",2.0167065541163
"ARL4C",1.24575897150732
"COL6A3",-3.08491582837122
"RAMP1",-2.50104697659445
"GPC1",-1.17540063959029
"GPC1-AS1",-1.36259065631062
"LRRN1",-3.36019156131123
"LMCD1",-3.70547970968022
"FANCD2",1.2292837288996
"FBLN2",1.13324577170864
"PLCL2",1.77266589064126
"ZNF385D",-1.11394465317751
"NR1D2",1.84388697789815
"PLCD1",1.06660118111126
"XIRP1",2.70326252275211
"TMEM158",-2.69941993156879
"CRIPTO",2.78004739908228
"MYL3",1.68849865754971
"UBA7",-1.70527366977717
"TNNC1",1.51356053969796
"CACNA1D",2.3862601260669
"CHDH",2.05743594655518
"ARHGEF3",-2.96568261845502
"CADPS",2.29475915418505
"TAFA4",3.103308380914
"MITF",1.85213551174887
"VGLL3",-2.02259159679384
"ST3GAL6",1.3166677518992
"COL8A1",1.61544525804393
"FILIP1L",-3.03187179076676
"CD47",-1.30545364923022
"MYH15",-2.20370939930573
"BOC",-1.03802701164833
"POPDC2",1.71754979221375
"CFAP91",1.42224557083572
"PARP9",-2.39613571641123
"PARP14",-2.14976597646121
"KLF15",2.15004080367149
"HMCES",1.16267627261509
"H1-10",1.23729207028199
"TRH",3.0174125328264
"ACP3",3.53426531805369
"SLCO2A1",1.77484730682981
"PCCB",1.0973929185741
"CHST2",-1.12712552480427
"TM4SF1",-2.35448290174168
"MME",-4.23329353583491
"TIPARP",1.65973716959491
"LINC00881",2.08176362325208
"SMC4",1.14069567246383
"LOC102724419",2.77622894277967
"MECOM",1.20882830356398
"CLDN11",-1.92871809077079
"TNIK",1.08078489798965
"ECT2",1.19329557411788
"MCF2L2",2.08951843290065
"KLHL24",1.45204414874671
"LOC107986163",1.46244459320112
"EHHADH",1.15088778373392
"ETV5",1.71453871102578
"AHSG",1.57179380164569
"ST6GAL1",1.19017197656209
"MASP1",1.72210641597351
"SST",-6.30450241409597
"CCDC50",1.06932789939786
"PLAAT1",1.00424480445078
"TFRC",-1.39139158514312
